EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,
SP,2014,,PLACE,FIRST NAME,LAST NAME,YEAR,TEAM,MARK,,,FLIGHT(PL),,
SP,2014,PRELIM,1,Ryan,Crouser,JR,Texas,21.12m,,,'1 (1)',,
SP,2014,PRELIM,2,Nick,Vena,JR,Georgia,20.16m,,,'1 (2)',,
SP,2014,PRELIM,3,Stephen,Saenz,SR,Auburn,19.78m,,,'1 (3)',,
SP,2014,PRELIM,4,Nicholas,Scarvelis,SO,UCLA,19.27m,,,'1 (4)',,
SP,2014,PRELIM,5,Jonathan,Jones,JR,Buffalo,19.26m,,,'1 (5)',,
SP,2014,PRELIM,6,Chad,Wright,SR,Nebraska,19.15m,,,'1 (6)',,
SP,2014,PRELIM,7,Darrell,Hill,JR,Penn State,19.14m,,,'1 (7)',,
SP,2014,PRELIM,8,Derek,Sievers,SO,Michigan,18.77m,,,'1 (8)',,
SP,2014,PRELIM,9,Kole,Weldon,JR,Texas Tech,18.68m,,,'1 (9)',,
SP,2014,PRELIM,10,Albert,Fournette,SR,UL-Lafayette,18.32m,,,'1 (10)',,
SP,2014,PRELIM,11,Aaron,Castle,FR,Arizona,17.49m,,,'1 (11)',,
SP,2014,PRELIM,12,Andrew,Akens,JR,UTSA,17.04m,,,'1 (12)',,
SP,2014,,PLACE,FIRST NAME,LAST NAME,YEAR,TEAM,MARK,,,FLIGHT(PL),,
SP,2014,PRELIM,1,Stephen,Mozia,JR,Cornell,20.46m,,,'2 (1)',,
SP,2014,PRELIM,2,Richard,Garrett,SR,UTSA,20.14m,,,'2 (2)',,
SP,2014,PRELIM,3,Stipe,Zunic,JR,Florida,19.67m,,,'2 (3)',,
SP,2014,PRELIM,4,Filip,Mihaljevic,FR,Virginia,19.56m,,,'2 (4)',,
SP,2014,PRELIM,5,Curtis,Jensen,SR,Illinois State,19.49m,,,'2 (5)',,
SP,2014,PRELIM,6,Ryan,Hershberger,SR,Kansas State,19.29m,,,'2 (6)',,
SP,2014,PRELIM,7,Kyle,Felpel,FR,Alabama,19.18m,,,'2 (7)',,
SP,2014,PRELIM,8,Bobby,Grace,SR,Youngstown St,19.14m,,,'2 (8)',,
SP,2014,PRELIM,9,Jan,Jeuschede,SO,Iowa State,18.75m,,,'2 (9)',,
SP,2014,PRELIM,10,Matt,Babicz,JR,DePaul,18.29m,,,'2 (10)',,
SP,2014,PRELIM,11,Josh,Freeman,SO,S. Illinois,18.11m,,,'2 (11)',,
SP,2014,PRELIM,null,Antonio,James,JR,Michigan State,FOUL,,,null,,
