values (EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,);
values (10K,2014,FINAL,8,Parker Stinson,SR,Oregon,29:01.39,'1 (8)',,,1,,,,,,,,,,,,);
values (10K,2014,FINAL,9,Chris Bendtsen,SR,Princeton,29:14.86,'1 (9)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,10,Adam Bitchell,SR,New Mexico,29:16.79,'1 (10)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,11,John Mascari,SO,Indiana State,29:30.76,'1 (11)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,12,Jason Witt,JR,BYU,29:40.98,'1 (12)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,13,Andrew Springer,SR,Georgetown,29:41.96,'1 (13)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,14,Brian Atkinson,SR,Duke,29:48.11,'1 (14)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,15,Luke Caldwell,SR,New Mexico,29:48.64,'1 (15)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,16,Thomas Porter,SR,Virginia,29:50.74,'1 (16)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,17,Brandon Lord,JR,Georgia,30:11.96,'1 (17)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,18,Morsi Rayyan,JR,Michigan,30:17.87,'1 (18)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,19,Tyler Byrne,JR,Louisville,30:26.49,'1 (19)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,20,Chris Enriquez,SO,Long Beach St,30:48.70,'1 (20)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,21,Martin Hehir,JR,Syracuse,31:17.94,'1 (21)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,22,Adam Visokay,FR,Virginia,32:25.14,'1 (22)',,,,,,,,,,,,,,,);
values (10K,2014,FINAL,null,Jim Spisak,SR,Duquesne,DNF,null,,,,,,,,,,,,,,,);
values (10K,2014,FINAL,null,James Leakos,SR,Harvard,DQ,null,,,,,,,,,,,,,,,);
