values (EVENT,SEASON,ROUND,,,,,,,TIME_DETAIL,QUALIFIER,"""HEAT(PL)""",WIND,);
values (800M,2014,PRELIM,,Hector Hernandez,,SO,Texas A&M,1:49.02,,,'2 (5)',,);
values (800M,2014,PRELIM,,Joe McAsey,,SO,Illinois,1:49.67,,,'2 (6)',,);
values (800M,2014,PRELIM,,Nick Hartle,,SO,UCLA,1:49.83,,,'2 (7)',,);
values (800M,2014,PRELIM,,Brandon McBride,,SO,Mississippi State,1:48.09,,Q,'3 (1)',,);
values (800M,2014,PRELIM,,Patrick Rono,,JR,Arkansas,1:48.20,,Q,'3 (2)',,);
values (800M,2014,PRELIM,,Luke Lefebure,,JR,Stanford,1:48.46,,q,'3 (3)',,);
values (800M,2014,PRELIM,,Eliud Rutto,,SO,Mid. Tenn. St,1:48.57,,q,'3 (4)',,);
values (800M,2014,PRELIM,,Tomas Squella,,JR,Arkansas,1:49.52,,,'3 (5)',,);
values (800M,2014,PRELIM,,Otniel Teixeira,,SO,Florida State,1:49.59,,,'3 (6)',,);
values (800M,2014,PRELIM,,Henry Tufnell,,JR,Brown,1:50.33,,,'3 (7)',,);
values (800M,2014,PRELIM,,Samuel Ellison,,SR,Villanova,1:51.07,,,'3 (8)',,);
values (400H,2014,PRELIM,,Trevor Brown,,SR,Colorado St,49.89,,Q,'1 (1)',,);
values (400H,2014,PRELIM,,Rilwan Alowonle,,SO,North Carolina,50.40,,Q,'1 (2)',,);
values (400H,2014,PRELIM,,Timothy Holmes,,FR,Baylor,50.56,,q,'1 (3)',,);
values (400H,2014,PRELIM,,Josh Taylor,,JR,Stephen F. Austin,50.58,,q,'1 (4)',,);
values (400H,2014,PRELIM,,Mica-Jonathan Petit-Homme,,SO,LIU Brooklyn,50.93,,,'1 (5)',,);
values (400H,2014,PRELIM,,Desmond Palmer,,FR,Pittsburgh,51.12,,,'1 (6)',,);
values (400H,2014,PRELIM,,Jordan Rispress,,SR,Ohio State,51.48,,,'1 (7)',,);
values (400H,2014,PRELIM,,Cam Viney,,SO,Illinois,53.09,,,'1 (8)',,);
values (400H,2014,PRELIM,,Michael Stigler,,JR,Kansas,49.34,,Q,'2 (1)',,);
values (400H,2014,PRELIM,,Miles Ukaoma,,SR,Nebraska,49.70,,Q,'2 (2)',,);
