University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
Tennessee Technological University,Tennessee Technological,Mens CC Womens Program,35-NCAA D-I,South (D1)-6,Ohio Valley Conference,'Tennessee Technological University','Tennessee Technological','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Tennessee Technological University','Tennessee Technological','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference');",
"Texas A&M University, College Station",Texas A&M,MW Program,35-NCAA D-I,South Central (D1)-7,Southeastern Conference,"'Texas A&M University, College Station'",'Texas A&M','MW Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas A&M University, College Station','Texas A&M','MW Program','35-NCAA D-I','South Central (D1)-7','Southeastern Conference');",
Texas A&M University-Corpus Christi,Texas A&M-CC,MW Program,35-NCAA D-I,South Central (D1)-7,Southland Conference,'Texas A&M University-Corpus Christi','Texas A&M-CC','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas A&M University-Corpus Christi','Texas A&M-CC','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference');",
Texas Christian University,TCU,MW Program,35-NCAA D-I,South Central (D1)-7,Big 12 Conference,'Texas Christian University','TCU','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas Christian University','TCU','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference');",
Texas Southern University,TSU,Mens Program,35-NCAA D-I,South Central (D1)-7,Southwestern Athletic Conference,'Texas Southern University','TSU','Mens Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas Southern University','TSU','Mens Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference');",
Texas Southern University,TSU,Womens Program,35-NCAA D-I,South Central (D1)-7,Southwestern Athletic Conference,'Texas Southern University','TSU','Womens Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas Southern University','TSU','Womens Program','35-NCAA D-I','South Central (D1)-7','Southwestern Athletic Conference');",
Texas State University-San Marcos,Texas State-San Marcos,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'Texas State University-San Marcos','Texas State-San Marcos','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas State University-San Marcos','Texas State-San Marcos','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
Texas Tech University,Texas Tech,MW Program,35-NCAA D-I,Mountain (D1)-4,Big 12 Conference,'Texas Tech University','Texas Tech','MW Program','35-NCAA D-I','Mountain (D1)-4','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('Texas Tech University','Texas Tech','MW Program','35-NCAA D-I','Mountain (D1)-4','Big 12 Conference');",
The Citadel,Citadel,MW Program,35-NCAA D-I,Southeast (D1)-8,Southern Conference,'The Citadel','Citadel','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('The Citadel','Citadel','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference');",
The Ohio State University,Ohio State,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Big Ten Conference,'The Ohio State University','Ohio State','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('The Ohio State University','Ohio State','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference');",
