University,Column1,Program_Type,Division,Region,Conference,Employer_Name2,Employer_Name3,Program_Type3,Division4,Region5,Conference6,Column6,
University of Hartford,Hartford,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'University of Hartford','Hartford','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Hartford','Hartford','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
"University of Hawaii, Manoa",Hawaii,Womens Program,35-NCAA D-I,West (D1)-9,Big West Conference,"'University of Hawaii, Manoa'",'Hawaii','Womens Program','35-NCAA D-I','West (D1)-9','Big West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Hawaii, Manoa','Hawaii','Womens Program','35-NCAA D-I','West (D1)-9','Big West Conference');",
University of Houston,Houston,MW Program,35-NCAA D-I,South Central (D1)-7,American Athletic Conference,'University of Houston','Houston','MW Program','35-NCAA D-I','South Central (D1)-7','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Houston','Houston','MW Program','35-NCAA D-I','South Central (D1)-7','American Athletic Conference');",
University of Idaho,Idaho,MW Program,35-NCAA D-I,West (D1)-9,Big Sky Conference,'University of Idaho','Idaho','MW Program','35-NCAA D-I','West (D1)-9','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Idaho','Idaho','MW Program','35-NCAA D-I','West (D1)-9','Big Sky Conference');",
University of Illinois at Chicago,Illinois-Chicago,MW Program,35-NCAA D-I,Midwest (D1)-3,Horizon League,'University of Illinois at Chicago','Illinois-Chicago','MW Program','35-NCAA D-I','Midwest (D1)-3','Horizon League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Illinois at Chicago','Illinois-Chicago','MW Program','35-NCAA D-I','Midwest (D1)-3','Horizon League');",
"University of Illinois, Champaign",Illinois,MW Program,35-NCAA D-I,Midwest (D1)-3,Big Ten Conference,"'University of Illinois, Champaign'",'Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Illinois, Champaign','Illinois','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference');",
University of Iowa,Iowa,MW Program,35-NCAA D-I,Midwest (D1)-3,Big Ten Conference,'University of Iowa','Iowa','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Iowa','Iowa','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference');",
University of Kansas,Kansas,MW Program,35-NCAA D-I,Midwest (D1)-3,Big 12 Conference,'University of Kansas','Kansas','MW Program','35-NCAA D-I','Midwest (D1)-3','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Kansas','Kansas','MW Program','35-NCAA D-I','Midwest (D1)-3','Big 12 Conference');",
University of Kentucky,Kentucky,MW Program,35-NCAA D-I,Southeast (D1)-8,Southeastern Conference,'University of Kentucky','Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Kentucky','Kentucky','MW Program','35-NCAA D-I','Southeast (D1)-8','Southeastern Conference');",
University of Louisiana at Lafayette,UL-Lafayette,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'University of Louisiana at Lafayette','UL-Lafayette','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Louisiana at Lafayette','UL-Lafayette','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
University of Louisiana at Monroe,UL-Monroe,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'University of Louisiana at Monroe','UL-Monroe','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Louisiana at Monroe','UL-Monroe','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
University of Louisville,Louisville,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,'University of Louisville','Louisville','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Louisville','Louisville','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
"University of Maine, Orono",Maine,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,"'University of Maine, Orono'",'Maine','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Maine, Orono','Maine','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
University of Maryland Eastern Shore,UMD-Eastern Short,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Mid-Eastern Athletic Conference,'University of Maryland Eastern Shore','UMD-Eastern Short','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Maryland Eastern Shore','UMD-Eastern Short','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Mid-Eastern Athletic Conference');",
"University of Maryland, Baltimore County","University of Maryland, Baltimore",MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,America East Conference,"'University of Maryland, Baltimore County'","'University of Maryland, Baltimore'",'MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Maryland, Baltimore County','University of Maryland, Baltimore','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','America East Conference');",
"University of Maryland, College Park","University of Maryland, College",MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Big Ten Conference,"'University of Maryland, College Park'","'University of Maryland, College'",'MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Maryland, College Park','University of Maryland, College','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Big Ten Conference');",
University of Massachusetts Lowell,University of Massachusetts,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'University of Massachusetts Lowell','University of Massachusetts','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Massachusetts Lowell','University of Massachusetts','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
"University of Massachusetts, Amherst",Massachusetts,Womens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic 10 Conference,"'University of Massachusetts, Amherst'",'Massachusetts','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Massachusetts, Amherst','Massachusetts','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference');",
"University of Massachusetts, Amherst",Massachusetts,Mens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic 10 Conference,"'University of Massachusetts, Amherst'",'Massachusetts','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Massachusetts, Amherst','Massachusetts','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference');",
University of Memphis,University of,MW Program,35-NCAA D-I,South (D1)-6,American Athletic Conference,'University of Memphis','University of','MW Program','35-NCAA D-I','South (D1)-6','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Memphis','University of','MW Program','35-NCAA D-I','South (D1)-6','American Athletic Conference');",
University of Miami (Florida),Miami,MW Program,35-NCAA D-I,South (D1)-6,Atlantic Coast Conference,'University of Miami (Florida)','Miami','MW Program','35-NCAA D-I','South (D1)-6','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Miami (Florida)','Miami','MW Program','35-NCAA D-I','South (D1)-6','Atlantic Coast Conference');",
University of Michigan,Michigan,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Big Ten Conference,'University of Michigan','Michigan','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Michigan','Michigan','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Big Ten Conference');",
"University of Minnesota, Twin Cities",Minnesota,MW Program,35-NCAA D-I,Midwest (D1)-3,Big Ten Conference,"'University of Minnesota, Twin Cities'",'Minnesota','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Minnesota, Twin Cities','Minnesota','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference');",
University of Mississippi,Mississippi,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,'University of Mississippi','Mississippi','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Mississippi','Mississippi','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
University of Missouri,Missouri,MW Program,35-NCAA D-I,Midwest (D1)-3,Southeastern Conference,'University of Missouri','Missouri','MW Program','35-NCAA D-I','Midwest (D1)-3','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Missouri','Missouri','MW Program','35-NCAA D-I','Midwest (D1)-3','Southeastern Conference');",
University of Montana,Montana,MW Program,35-NCAA D-I,Mountain (D1)-4,Big Sky Conference,'University of Montana','Montana','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Montana','Montana','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference');",
University of Nebraska Omaha,Nebraska-Omaha,Womens Program,35-NCAA D-I,Midwest (D1)-3,The Summit League,'University of Nebraska Omaha','Nebraska-Omaha','Womens Program','35-NCAA D-I','Midwest (D1)-3','The Summit League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Nebraska Omaha','Nebraska-Omaha','Womens Program','35-NCAA D-I','Midwest (D1)-3','The Summit League');",
"University of Nebraska, Lincoln",Nebraska,MW Program,35-NCAA D-I,Midwest (D1)-3,Big Ten Conference,"'University of Nebraska, Lincoln'",'Nebraska','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Nebraska, Lincoln','Nebraska','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Ten Conference');",
University of Nevada,Nevada,Mens CC Womens Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'University of Nevada','Nevada','Mens CC Womens Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Nevada','Nevada','Mens CC Womens Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
"University of Nevada, Las Vegas",UNLV,Womens Program,35-NCAA D-I,West (D1)-9,Mountain West Conference,"'University of Nevada, Las Vegas'",'UNLV','Womens Program','35-NCAA D-I','West (D1)-9','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Nevada, Las Vegas','UNLV','Womens Program','35-NCAA D-I','West (D1)-9','Mountain West Conference');",
University of New Hampshire,New Hampshire,MW Program,35-NCAA D-I,Northeast (D1)-5,America East Conference,'University of New Hampshire','New Hampshire','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of New Hampshire','New Hampshire','MW Program','35-NCAA D-I','Northeast (D1)-5','America East Conference');",
University of New Mexico,New Mexico,MW Program,35-NCAA D-I,Mountain (D1)-4,Mountain West Conference,'University of New Mexico','New Mexico','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of New Mexico','New Mexico','MW Program','35-NCAA D-I','Mountain (D1)-4','Mountain West Conference');",
University of New Orleans,New Orleans,MW Program,35-NCAA D-I,South Central (D1)-7,Southland Conference,'University of New Orleans','New Orleans','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of New Orleans','New Orleans','MW Program','35-NCAA D-I','South Central (D1)-7','Southland Conference');",
University of North Carolina at Greensboro,UNC-Greensboro,MW Program,35-NCAA D-I,Southeast (D1)-8,Southern Conference,'University of North Carolina at Greensboro','UNC-Greensboro','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Carolina at Greensboro','UNC-Greensboro','MW Program','35-NCAA D-I','Southeast (D1)-8','Southern Conference');",
"University of North Carolina, Asheville",UNC-Asheville,MW Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,"'University of North Carolina, Asheville'",'UNC-Asheville','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Carolina, Asheville','UNC-Asheville','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
"University of North Carolina, Chapel Hill",North Carolia,MW Program,35-NCAA D-I,Southeast (D1)-8,Atlantic Coast Conference,"'University of North Carolina, Chapel Hill'",'North Carolia','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Carolina, Chapel Hill','North Carolia','MW Program','35-NCAA D-I','Southeast (D1)-8','Atlantic Coast Conference');",
"University of North Carolina, Charlotte",UNC-Charlotte,MW Program,35-NCAA D-I,Southeast (D1)-8,Conference USA,"'University of North Carolina, Charlotte'",'UNC-Charlotte','MW Program','35-NCAA D-I','Southeast (D1)-8','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Carolina, Charlotte','UNC-Charlotte','MW Program','35-NCAA D-I','Southeast (D1)-8','Conference USA');",
"University of North Carolina, Wilmington",UNC-Wilmington,MW Program,35-NCAA D-I,Southeast (D1)-8,Colonial Athletic Association,"'University of North Carolina, Wilmington'",'UNC-Wilmington','MW Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Carolina, Wilmington','UNC-Wilmington','MW Program','35-NCAA D-I','Southeast (D1)-8','Colonial Athletic Association');",
University of North Dakota,North Dakota,MW Program,35-NCAA D-I,Midwest (D1)-3,Big Sky Conference,'University of North Dakota','North Dakota','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Dakota','North Dakota','MW Program','35-NCAA D-I','Midwest (D1)-3','Big Sky Conference');",
University of North Florida,North Florida,MW Program,35-NCAA D-I,South (D1)-6,Atlantic Sun Conference,'University of North Florida','North Florida','MW Program','35-NCAA D-I','South (D1)-6','Atlantic Sun Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Florida','North Florida','MW Program','35-NCAA D-I','South (D1)-6','Atlantic Sun Conference');",
University of North Texas,North Texas,MW Program,35-NCAA D-I,South Central (D1)-7,Conference USA,'University of North Texas','North Texas','MW Program','35-NCAA D-I','South Central (D1)-7','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of North Texas','North Texas','MW Program','35-NCAA D-I','South Central (D1)-7','Conference USA');",
University of Northern Colorado,Northern Colorado,MW Program,35-NCAA D-I,Mountain (D1)-4,Big Sky Conference,'University of Northern Colorado','Northern Colorado','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Northern Colorado','Northern Colorado','MW Program','35-NCAA D-I','Mountain (D1)-4','Big Sky Conference');",
University of Northern Iowa,Northern Iowa,MW Program,35-NCAA D-I,Midwest (D1)-3,Missouri Valley Conference,'University of Northern Iowa','Northern Iowa','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Northern Iowa','Northern Iowa','MW Program','35-NCAA D-I','Midwest (D1)-3','Missouri Valley Conference');",
University of Notre Dame,Notre Dame,MW Program,35-NCAA D-I,Great Lakes (D1)-1,Atlantic Coast Conference,'University of Notre Dame','Notre Dame','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Notre Dame','Notre Dame','MW Program','35-NCAA D-I','Great Lakes (D1)-1','Atlantic Coast Conference');",
University of Oklahoma,Oklahoma,MW Program,35-NCAA D-I,Midwest (D1)-3,Big 12 Conference,'University of Oklahoma','Oklahoma','MW Program','35-NCAA D-I','Midwest (D1)-3','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Oklahoma','Oklahoma','MW Program','35-NCAA D-I','Midwest (D1)-3','Big 12 Conference');",
University of Oregon,Oregon,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'University of Oregon','Oregon','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Oregon','Oregon','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
University of Pennsylvania,Penn,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Ivy League,'University of Pennsylvania','Penn','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Ivy League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Pennsylvania','Penn','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Ivy League');",
University of Pittsburgh,Pittsburgh,MW Program,35-NCAA D-I,Mid-Atlantic (D1)-2,Atlantic Coast Conference,'University of Pittsburgh','Pittsburgh','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Atlantic Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Pittsburgh','Pittsburgh','MW Program','35-NCAA D-I','Mid-Atlantic (D1)-2','Atlantic Coast Conference');",
University of Portland,Portland,Mens Program,35-NCAA D-I,West (D1)-9,West Coast Conference,'University of Portland','Portland','Mens Program','35-NCAA D-I','West (D1)-9','West Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Portland','Portland','Mens Program','35-NCAA D-I','West (D1)-9','West Coast Conference');",
University of Portland,Portland,Womens Program,35-NCAA D-I,West (D1)-9,West Coast Conference,'University of Portland','Portland','Womens Program','35-NCAA D-I','West (D1)-9','West Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Portland','Portland','Womens Program','35-NCAA D-I','West (D1)-9','West Coast Conference');",
University of Rhode Island,Rhode Island,Mens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic 10 Conference,'University of Rhode Island','Rhode Island','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Rhode Island','Rhode Island','Mens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference');",
University of Rhode Island,Rhode Island,Womens Program,35-NCAA D-I,Northeast (D1)-5,Atlantic 10 Conference,'University of Rhode Island','Rhode Island','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Rhode Island','Rhode Island','Womens Program','35-NCAA D-I','Northeast (D1)-5','Atlantic 10 Conference');",
University of Richmond,Richmond,Womens Program,35-NCAA D-I,Southeast (D1)-8,Atlantic 10 Conference,'University of Richmond','Richmond','Womens Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Richmond','Richmond','Womens Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference');",
University of Richmond,Richmond,Mens Program,35-NCAA D-I,Southeast (D1)-8,Atlantic 10 Conference,'University of Richmond','Richmond','Mens Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Richmond','Richmond','Mens Program','35-NCAA D-I','Southeast (D1)-8','Atlantic 10 Conference');",
University of San Diego,University of San Diego,Mens CC Womens Program,35-NCAA D-I,West (D1)-9,West Coast Conference,'University of San Diego','University of San Diego','Mens CC Womens Program','35-NCAA D-I','West (D1)-9','West Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of San Diego','University of San Diego','Mens CC Womens Program','35-NCAA D-I','West (D1)-9','West Coast Conference');",
University of San Francisco,University of San Francisco,MW Program,35-NCAA D-I,West (D1)-9,West Coast Conference,'University of San Francisco','University of San Francisco','MW Program','35-NCAA D-I','West (D1)-9','West Coast Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of San Francisco','University of San Francisco','MW Program','35-NCAA D-I','West (D1)-9','West Coast Conference');",
University of South Alabama,South Alabama,MW Program,35-NCAA D-I,South (D1)-6,Sun Belt Conference,'University of South Alabama','South Alabama','MW Program','35-NCAA D-I','South (D1)-6','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of South Alabama','South Alabama','MW Program','35-NCAA D-I','South (D1)-6','Sun Belt Conference');",
University of South Carolina Upstate,University of South Carolina Upstate,MW Program,35-NCAA D-I,Southeast (D1)-8,Big South Conference,'University of South Carolina Upstate','University of South Carolina Upstate','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of South Carolina Upstate','University of South Carolina Upstate','MW Program','35-NCAA D-I','Southeast (D1)-8','Big South Conference');",
"University of South Carolina, Columbia",South Carolina,MW Program,35-NCAA D-I,Southeast (D1)-8,Southeastern Conference,"'University of South Carolina, Columbia'",'South Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of South Carolina, Columbia','South Carolina','MW Program','35-NCAA D-I','Southeast (D1)-8','Southeastern Conference');",
University of South Dakota,South Dakota,MW Program,35-NCAA D-I,Midwest (D1)-3,The Summit League,'University of South Dakota','South Dakota','MW Program','35-NCAA D-I','Midwest (D1)-3','The Summit League',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of South Dakota','South Dakota','MW Program','35-NCAA D-I','Midwest (D1)-3','The Summit League');",
University of South Florida,USF,MW Program,35-NCAA D-I,South (D1)-6,American Athletic Conference,'University of South Florida','USF','MW Program','35-NCAA D-I','South (D1)-6','American Athletic Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of South Florida','USF','MW Program','35-NCAA D-I','South (D1)-6','American Athletic Conference');",
University of Southern California,USC,MW Program,35-NCAA D-I,West (D1)-9,Pac-12 Conference,'University of Southern California','USC','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Southern California','USC','MW Program','35-NCAA D-I','West (D1)-9','Pac-12 Conference');",
University of Southern Mississippi,Southern Mississippi,MW Program,35-NCAA D-I,South (D1)-6,Conference USA,'University of Southern Mississippi','Southern Mississippi','MW Program','35-NCAA D-I','South (D1)-6','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Southern Mississippi','Southern Mississippi','MW Program','35-NCAA D-I','South (D1)-6','Conference USA');",
University of Tennessee at Chattanooga,Tennessee-Chattanooga,Mens CC Womens Program,35-NCAA D-I,South (D1)-6,Southern Conference,'University of Tennessee at Chattanooga','Tennessee-Chattanooga','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Southern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Tennessee at Chattanooga','Tennessee-Chattanooga','Mens CC Womens Program','35-NCAA D-I','South (D1)-6','Southern Conference');",
University of Tennessee at Martin,Tennessee-Martin,MW Program,35-NCAA D-I,South (D1)-6,Ohio Valley Conference,'University of Tennessee at Martin','Tennessee-Martin','MW Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Tennessee at Martin','Tennessee-Martin','MW Program','35-NCAA D-I','South (D1)-6','Ohio Valley Conference');",
"University of Tennessee, Knoxville",Tennessee,MW Program,35-NCAA D-I,South (D1)-6,Southeastern Conference,"'University of Tennessee, Knoxville'",'Tennessee','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Tennessee, Knoxville','Tennessee','MW Program','35-NCAA D-I','South (D1)-6','Southeastern Conference');",
University of Texas at Arlington,UT-Arlington,MW Program,35-NCAA D-I,South Central (D1)-7,Sun Belt Conference,'University of Texas at Arlington','UT-Arlington','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Texas at Arlington','UT-Arlington','MW Program','35-NCAA D-I','South Central (D1)-7','Sun Belt Conference');",
University of Texas at Austin,Texas,MW Program,35-NCAA D-I,South Central (D1)-7,Big 12 Conference,'University of Texas at Austin','Texas','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Texas at Austin','Texas','MW Program','35-NCAA D-I','South Central (D1)-7','Big 12 Conference');",
University of Texas at El Paso,UTEP,MW Program,35-NCAA D-I,Mountain (D1)-4,Conference USA,'University of Texas at El Paso','UTEP','MW Program','35-NCAA D-I','Mountain (D1)-4','Conference USA',"insert into D1_PROGRAMS (University,Column1,Program_Type,Division,Region,Conference) values ('University of Texas at El Paso','UTEP','MW Program','35-NCAA D-I','Mountain (D1)-4','Conference USA');",
